track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0,Ariana Grande,eternal sunshine,we can't be friends (wait for your love),89,228639,False,0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04e-05,0.074,0.295,115.842,4,pop
1,Ariana Grande,eternal sunshine,the boy is mine,85,173639,True,0.795,0.63,7,-5.854,0,0.0434,0.157,0.0,0.0732,0.447,97.998,4,pop
2,Ariana Grande,eternal sunshine,intro (end of the world),83,92400,True,0.506,0.362,10,-9.48,1,0.0416,0.67,0.0,0.176,0.385,84.726,4,pop
3,Ariana Grande,After Hours (Deluxe),Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,80,191013,False,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,4,pop
4,Ariana Grande,eternal sunshine,"yes, and?",79,214994,True,0.787,0.775,1,-6.614,1,0.0548,0.19,6.54e-05,0.113,0.787,118.998,4,pop
5,Ariana Grande,My Everything - Deluxe,One Last Time,82,197266,False,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.025,4,pop
6,Ariana Grande,Starboy (Deluxe),Die For You (with Ariana Grande) - Remix,78,232857,False,0.568,0.485,1,-7.635,0,0.0582,0.276,0.0,0.323,0.517,66.961,4,pop
7,Ariana Grande,"thank u, next",7 rings,82,178626,True,0.777,0.317,1,-10.732,0,0.308,0.591,0.0,0.0881,0.33,139.848,4,pop
8,Ariana Grande,Dangerous Woman,Dangerous Woman,70,235946,False,0.664,0.602,4,-5.369,0,0.0412,0.0529,0.0,0.356,0.289,134.049,4,pop
9,Ariana Grande,Dangerous Woman,Into You,70,244453,False,0.623,0.734,9,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853,4,pop
10,Adele,30,Easy On Me,84,224694,False,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,4,"british soul, pop, pop soul, uk pop"
11,Adele,21,Set Fire to the Rain,79,242973,False,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,4,"british soul, pop, pop soul, uk pop"
12,Adele,21,Someone Like You,78,285240,False,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,4,"british soul, pop, pop soul, uk pop"
13,Adele,21,Rolling in the Deep,79,228093,False,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,4,"british soul, pop, pop soul, uk pop"
14,Adele,Skyfall,Skyfall,84,286480,False,0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881,4,"british soul, pop, pop soul, uk pop"
15,Adele,25,Love In The Dark,74,285935,False,0.331,0.341,9,-6.057,0,0.0309,0.528,0.0,0.109,0.152,109.821,4,"british soul, pop, pop soul, uk pop"
16,Adele,25,When We Were Young,73,290900,False,0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361,4,"british soul, pop, pop soul, uk pop"
17,Adele,19,Make You Feel My Love,72,212040,False,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,4,"british soul, pop, pop soul, uk pop"
18,Adele,19,Chasing Pavements,70,210506,False,0.616,0.47,5,-6.092,0,0.0253,0.291,0.0,0.111,0.325,80.03,4,"british soul, pop, pop soul, uk pop"
19,Adele,25,Hello,72,295502,False,0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991,4,"british soul, pop, pop soul, uk pop"
20,A$AP Rocky,Sundress,Sundress,83,158205,True,0.721,0.707,6,-6.364,1,0.0595,0.181,3.68e-06,0.143,0.743,125.005,4,"east coast hip hop, hip hop, rap"
21,A$AP Rocky,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),83,190285,True,0.47,0.652,2,-9.629,1,0.0561,0.0831,4.08e-05,0.175,0.104,141.981,4,"east coast hip hop, hip hop, rap"
22,A$AP Rocky,TESTING,Praise The Lord (Da Shine) (feat. Skepta),81,205040,True,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,4,"east coast hip hop, hip hop, rap"
23,A$AP Rocky,AT.LONG.LAST.A$AP,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",79,260986,True,0.394,0.661,4,-8.684,1,0.192,0.00996,0.0,0.343,0.335,149.818,4,"east coast hip hop, hip hop, rap"
24,A$AP Rocky,HIGHJACK,HIGHJACK,77,190074,True,0.61,0.682,7,-4.877,1,0.123,0.318,0.0,0.321,0.694,142.966,4,"east coast hip hop, hip hop, rap"
25,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),Fashion Killa,77,236280,True,0.801,0.819,11,-5.189,1,0.158,0.292,0.0,0.515,0.811,139.969,4,"east coast hip hop, hip hop, rap"
26,A$AP Rocky,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",76,256026,False,0.6,0.537,9,-7.777,0,0.0362,0.0468,0.0038,0.206,0.126,90.061,4,"east coast hip hop, hip hop, rap"
27,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",76,233786,True,0.853,0.693,1,-6.87,1,0.275,0.0239,0.0,0.11,0.662,95.967,4,"east coast hip hop, hip hop, rap"
28,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),LVL,76,220133,True,0.597,0.427,5,-6.764,0,0.0536,0.18,1.33e-05,0.121,0.0997,120.085,4,"east coast hip hop, hip hop, rap"
29,A$AP Rocky,AT.LONG.LAST.A$AP,Jukebox Joints (feat. Joe Fox & Kanye West),72,323960,True,0.284,0.803,2,-5.293,0,0.173,0.302,0.0,0.242,0.553,67.536,4,"east coast hip hop, hip hop, rap"
30,Taylor Swift,Lover,Cruel Summer,92,178426,False,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,4,pop
31,Taylor Swift,THE TORTURED POETS DEPARTMENT,Fortnight (feat. Post Malone),89,228965,False,0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,4,pop
